seed,lambda,mu,rho,policy_name,preemptive,last_index,last_arrival,last_completion,totdelay,totservice,totwait,interarr,wait,delay,service,innode,inq,util,maxqlen
1,2.000000,0.400000,0.200000,PS,1,1000000,1996801.375000,1996801.500000,99471.359375,399466.687500,498938.093750,1.996801,0.498938,0.099471,0.399467,0.249869,0.049815,0.200053,8
10,2.000000,0.400000,0.200000,FCFS,0,1000000,2000275.625000,2000275.875000,99560.968750,398893.750000,498454.718750,2.000276,0.498455,0.099561,0.398894,0.249193,0.049774,0.199419,7
10,2.000000,0.400000,0.200000,FCFS,1,1000000,2000275.625000,2000275.875000,99562.179688,398893.750000,498455.937500,2.000276,0.498456,0.099562,0.398894,0.249194,0.049774,0.199419,9
10,2.000000,0.400000,0.200000,LCFS,0,1000000,2000275.625000,2000275.875000,99422.242188,398893.750000,498316.000000,2.000276,0.498316,0.099422,0.398894,0.249124,0.049704,0.199419,7
10,2.000000,0.400000,0.200000,LCFS,1,1000000,2000275.625000,2000275.875000,98848.351562,398893.750000,497742.125000,2.000276,0.497742,0.098848,0.398894,0.248837,0.049417,0.199419,9
10,2.000000,0.400000,0.200000,SJF,0,1000000,2000275.625000,2000275.875000,91226.093750,398893.750000,490119.843750,2.000276,0.490120,0.091226,0.398894,0.245026,0.045607,0.199419,7
10,2.000000,0.400000,0.200000,SJF,1,1000000,2000275.625000,2000275.875000,58952.175781,398893.750000,457845.906250,2.000276,0.457846,0.058952,0.398894,0.228891,0.029472,0.199419,8
10,2.000000,0.400000,0.200000,SRTF,1,1000000,2000275.625000,2000275.875000,47170.890625,398893.750000,446064.625000,2.000276,0.446065,0.047171,0.398894,0.223002,0.023582,0.199419,6
10,2.000000,0.400000,0.200000,PS,0,1000000,2000275.625000,2000275.875000,99464.695312,398893.750000,498358.468750,2.000276,0.498358,0.099465,0.398894,0.249145,0.049725,0.199419,7
10,2.000000,0.400000,0.200000,PS,1,1000000,2000275.625000,2000275.875000,99019.234375,398893.750000,497913.000000,2.000276,0.497913,0.099019,0.398894,0.248922,0.049503,0.199419,9
100,2.000000,0.400000,0.200000,FCFS,0,1000000,2001055.625000,2001056.000000,99947.117188,399942.531250,499889.656250,2.001056,0.499890,0.099947,0.399943,0.249813,0.049947,0.199866,9
100,2.000000,0.400000,0.200000,FCFS,1,1000000,2001055.625000,2001056.000000,99960.484375,399942.531250,499903.031250,2.001056,0.499903,0.099960,0.399943,0.249820,0.049954,0.199866,10
100,2.000000,0.400000,0.200000,LCFS,0,1000000,2001055.625000,2001056.000000,99776.421875,399942.531250,499718.968750,2.001056,0.499719,0.099776,0.399943,0.249728,0.049862,0.199866,9
100,2.000000,0.400000,0.200000,LCFS,1,1000000,2001055.625000,2001056.000000,99591.570312,399942.531250,499534.125000,2.001056,0.499534,0.099592,0.399943,0.249635,0.049770,0.199866,10
100,2.000000,0.400000,0.200000,SJF,0,1000000,2001055.625000,2001056.000000,91517.406250,399942.531250,491459.937500,2.001056,0.491460,0.091517,0.399943,0.245600,0.045735,0.199866,9
100,2.000000,0.400000,0.200000,SJF,1,1000000,2001055.625000,2001056.000000,59273.531250,399942.531250,459216.062500,2.001056,0.459216,0.059274,0.399943,0.229487,0.029621,0.199866,7
100,2.000000,0.400000,0.200000,SRTF,1,1000000,2001055.625000,2001056.000000,47388.312500,399942.531250,447330.843750,2.001056,0.447331,0.047388,0.399943,0.223547,0.023682,0.199866,6
100,2.000000,0.400000,0.200000,PS,0,1000000,2001055.625000,2001056.000000,99969.789062,399942.531250,499912.312500,2.001056,0.499912,0.099970,0.399943,0.249824,0.049959,0.199866,9
100,2.000000,0.400000,0.200000,PS,1,1000000,2001055.625000,2001056.000000,99938.210938,399942.531250,499880.750000,2.001056,0.499881,0.099938,0.399943,0.249808,0.049943,0.199866,9
1000,2.000000,0.400000,0.200000,FCFS,0,1000000,2001842.250000,2001842.375000,100204.351562,400099.468750,500303.812500,2.001842,0.500304,0.100204,0.400099,0.249922,0.050056,0.199866,8
1000,2.000000,0.400000,0.200000,FCFS,1,1000000,2001842.250000,2001842.375000,100200.421875,400099.468750,500299.875000,2.001842,0.500300,0.100200,0.400099,0.249920,0.050054,0.199866,9
1000,2.000000,0.400000,0.200000,LCFS,0,1000000,2001842.250000,2001842.375000,100356.289062,400099.468750,500455.750000,2.001842,0.500456,0.100356,0.400099,0.249998,0.050132,0.199866,8
1000,2.000000,0.400000,0.200000,LCFS,1,1000000,2001842.250000,2001842.375000,99992.156250,400099.468750,500091.593750,2.001842,0.500092,0.099992,0.400099,0.249816,0.049950,0.199866,9
1000,2.000000,0.400000,0.200000,SJF,0,1000000,2001842.250000,2001842.375000,91987.929688,400099.468750,492087.375000,2.001842,0.492087,0.091988,0.400099,0.245817,0.045952,0.199866,8
1000,2.000000,0.400000,0.200000,SJF,1,1000000,2001842.250000,2001842.375000,59438.390625,400099.468750,459537.812500,2.001842,0.459538,0.059438,0.400099,0.229557,0.029692,0.199866,7
1000,2.000000,0.400000,0.200000,SRTF,1,1000000,2001842.250000,2001842.375000,47509.398438,400099.468750,447608.843750,2.001842,0.447609,0.047509,0.400099,0.223598,0.023733,0.199866,6
1000,2.000000,0.400000,0.200000,PS,0,1000000,2001842.250000,2001842.375000,100248.750000,400099.468750,500348.187500,2.001842,0.500348,0.100249,0.400099,0.249944,0.050078,0.199866,8
1000,2.000000,0.400000,0.200000,PS,1,1000000,2001842.250000,2001842.375000,100104.664062,400099.468750,500204.093750,2.001842,0.500204,0.100105,0.400099,0.249872,0.050006,0.199866,9
10000,2.000000,0.400000,0.200000,FCFS,0,1000000,2003977.125000,2003977.250000,99979.054688,399845.250000,499824.312500,2.003977,0.499824,0.099979,0.399845,0.249416,0.049890,0.199526,7
10000,2.000000,0.400000,0.200000,FCFS,1,1000000,2003977.125000,2003977.250000,99982.429688,399845.250000,499827.718750,2.003977,0.499828,0.099982,0.399845,0.249418,0.049892,0.199526,9
10000,2.000000,0.400000,0.200000,LCFS,0,1000000,2003977.125000,2003977.250000,99978.414062,399845.250000,499823.687500,2.003977,0.499824,0.099978,0.399845,0.249416,0.049890,0.199526,7
10000,2.000000,0.400000,0.200000,LCFS,1,1000000,2003977.125000,2003977.250000,99768.257812,399845.250000,499613.500000,2.003977,0.499613,0.099768,0.399845,0.249311,0.049785,0.199526,9
10000,2.000000,0.400000,0.200000,SJF,0,1000000,2003977.125000,2003977.250000,91570.515625,399845.250000,491415.781250,2.003977,0.491416,0.091571,0.399845,0.245220,0.045694,0.199526,7
10000,2.000000,0.400000,0.200000,SJF,1,1000000,2003977.125000,2003977.250000,59442.121094,399845.250000,459287.406250,2.003977,0.459287,0.059442,0.399845,0.229188,0.029662,0.199526,7
10000,2.000000,0.400000,0.200000,SRTF,1,1000000,2003977.125000,2003977.250000,47523.156250,399845.250000,447368.406250,2.003977,0.447368,0.047523,0.399845,0.223240,0.023714,0.199526,6
10000,2.000000,0.400000,0.200000,PS,0,1000000,2003977.125000,2003977.250000,100038.828125,399845.250000,499884.093750,2.003977,0.499884,0.100039,0.399845,0.249446,0.049920,0.199526,7
10000,2.000000,0.400000,0.200000,PS,1,1000000,2003977.125000,2003977.250000,99793.773438,399845.250000,499639.031250,2.003977,0.499639,0.099794,0.399845,0.249324,0.049798,0.199526,8
100000,2.000000,0.400000,0.200000,FCFS,0,1000000,2000592.250000,2000593.250000,99799.757812,399828.437500,499628.218750,2.000592,0.499628,0.099800,0.399828,0.249740,0.049885,0.199855,8
100000,2.000000,0.400000,0.200000,FCFS,1,1000000,2000592.250000,2000593.250000,99797.945312,399828.437500,499626.406250,2.000592,0.499626,0.099798,0.399828,0.249739,0.049884,0.199855,9
100000,2.000000,0.400000,0.200000,LCFS,0,1000000,2000592.250000,2000593.250000,99893.843750,399828.437500,499722.312500,2.000592,0.499722,0.099894,0.399828,0.249787,0.049932,0.199855,8
100000,2.000000,0.400000,0.200000,LCFS,1,1000000,2000592.250000,2000593.250000,99203.109375,399828.437500,499031.562500,2.000592,0.499032,0.099203,0.399828,0.249442,0.049587,0.199855,9
100000,2.000000,0.400000,0.200000,SJF,0,1000000,2000592.250000,2000593.250000,91482.656250,399828.437500,491311.093750,2.000592,0.491311,0.091483,0.399828,0.245583,0.045728,0.199855,8
100000,2.000000,0.400000,0.200000,SJF,1,1000000,2000592.250000,2000593.250000,59166.195312,399828.437500,458994.656250,2.000592,0.458995,0.059166,0.399828,0.229429,0.029574,0.199855,7
100000,2.000000,0.400000,0.200000,SRTF,1,1000000,2000592.250000,2000593.250000,47288.742188,399828.437500,447117.187500,2.000592,0.447117,0.047289,0.399828,0.223492,0.023637,0.199855,6
100000,2.000000,0.400000,0.200000,PS,0,1000000,2000592.250000,2000593.250000,99925.960938,399828.437500,499754.406250,2.000592,0.499754,0.099926,0.399828,0.249803,0.049948,0.199855,8
100000,2.000000,0.400000,0.200000,PS,1,1000000,2000592.250000,2000593.250000,99277.203125,399828.437500,499105.625000,2.000592,0.499106,0.099277,0.399828,0.249479,0.049624,0.199855,9
1000000,2.000000,0.400000,0.200000,FCFS,0,1000000,1999762.250000,1999762.750000,99902.898438,399571.093750,499473.968750,1.999762,0.499474,0.099903,0.399571,0.249767,0.049957,0.199809,9
1000000,2.000000,0.400000,0.200000,FCFS,1,1000000,1999762.250000,1999762.750000,99894.398438,399571.093750,499465.500000,1.999762,0.499465,0.099894,0.399571,0.249762,0.049953,0.199809,10
1000000,2.000000,0.400000,0.200000,LCFS,0,1000000,1999762.250000,1999762.750000,99882.476562,399571.093750,499453.562500,1.999762,0.499454,0.099882,0.399571,0.249756,0.049947,0.199809,9
1000000,2.000000,0.400000,0.200000,LCFS,1,1000000,1999762.250000,1999762.750000,100010.562500,399571.093750,499581.656250,1.999762,0.499582,0.100011,0.399571,0.249820,0.050011,0.199809,10
1000000,2.000000,0.400000,0.200000,SJF,0,1000000,1999762.250000,1999762.750000,91545.257812,399571.093750,491116.343750,1.999762,0.491116,0.091545,0.399571,0.245587,0.045778,0.199809,9
1000000,2.000000,0.400000,0.200000,SJF,1,1000000,1999762.250000,1999762.750000,59493.308594,399571.093750,459064.406250,1.999762,0.459064,0.059493,0.399571,0.229559,0.029750,0.199809,7
1000000,2.000000,0.400000,0.200000,SRTF,1,1000000,1999762.250000,1999762.750000,47610.687500,399571.093750,447181.781250,1.999762,0.447182,0.047611,0.399571,0.223617,0.023808,0.199809,6
1000000,2.000000,0.400000,0.200000,PS,0,1000000,1999762.250000,1999762.750000,99912.992188,399571.093750,499484.093750,1.999762,0.499484,0.099913,0.399571,0.249772,0.049962,0.199809,9
1000000,2.000000,0.400000,0.200000,PS,1,1000000,1999762.250000,1999762.750000,99673.617188,399571.093750,499244.718750,1.999762,0.499245,0.099674,0.399571,0.249652,0.049843,0.199809,8
1,2.000000,0.600000,0.300000,FCFS,0,1000000,1996801.375000,1996801.625000,256293.453125,599450.750000,855744.187500,1.996801,0.855744,0.256293,0.599451,0.428557,0.128352,0.300205,10
1,2.000000,0.600000,0.300000,FCFS,1,1000000,1996801.375000,1996801.625000,256292.515625,599450.750000,855743.312500,1.996801,0.855743,0.256293,0.599451,0.428557,0.128352,0.300205,12
1,2.000000,0.600000,0.300000,LCFS,0,1000000,1996801.375000,1996801.625000,256363.171875,599450.750000,855813.937500,1.996801,0.855814,0.256363,0.599451,0.428592,0.128387,0.300205,10
1,2.000000,0.600000,0.300000,LCFS,1,1000000,1996801.375000,1996801.625000,256088.687500,599450.750000,855539.437500,1.996801,0.855539,0.256089,0.599451,0.428455,0.128249,0.300205,12
1,2.000000,0.600000,0.300000,SJF,0,1000000,1996801.375000,1996801.625000,226849.171875,599450.750000,826299.875000,1.996801,0.826300,0.226849,0.599451,0.413812,0.113606,0.300205,10
1,2.000000,0.600000,0.300000,SJF,1,1000000,1996801.375000,1996801.625000,147739.281250,599450.750000,747190.000000,1.996801,0.747190,0.147739,0.599451,0.374193,0.073988,0.300205,8
1,2.000000,0.600000,0.300000,SRTF,1,1000000,1996801.375000,1996801.625000,117973.296875,599450.750000,717424.062500,1.996801,0.717424,0.117973,0.599451,0.359287,0.059081,0.300205,7
1,2.000000,0.600000,0.300000,PS,0,1000000,1996801.375000,1996801.625000,256244.062500,599450.750000,855694.875000,1.996801,0.855695,0.256244,0.599451,0.428533,0.128327,0.300205,10
1,2.000000,0.600000,0.300000,PS,1,1000000,1996801.375000,1996801.625000,256205.984375,599450.750000,855656.750000,1.996801,0.855657,0.256206,0.599451,0.428514,0.128308,0.300205,11
10,2.000000,0.600000,0.300000,FCFS,0,1000000,2000275.625000,2000276.000000,255741.640625,598590.437500,854332.125000,2.000276,0.854332,0.255742,0.598590,0.427107,0.127853,0.299254,9
10,2.000000,0.600000,0.300000,FCFS,1,1000000,2000275.625000,2000276.000000,255741.765625,598590.437500,854332.250000,2.000276,0.854332,0.255742,0.598590,0.427107,0.127853,0.299254,11
10,2.000000,0.600000,0.300000,LCFS,0,1000000,2000275.625000,2000276.000000,255416.843750,598590.437500,854007.312500,2.000276,0.854007,0.255417,0.598590,0.426945,0.127691,0.299254,9
10,2.000000,0.600000,0.300000,LCFS,1,1000000,2000275.625000,2000276.000000,254588.515625,598590.437500,853179.000000,2.000276,0.853179,0.254589,0.598590,0.426531,0.127277,0.299254,12
10,2.000000,0.600000,0.300000,SJF,0,1000000,2000275.625000,2000276.000000,226115.531250,598590.437500,824706.000000,2.000276,0.824706,0.226116,0.598590,0.412296,0.113042,0.299254,9
10,2.000000,0.600000,0.300000,SJF,1,1000000,2000275.625000,2000276.000000,146784.953125,598590.437500,745375.437500,2.000276,0.745375,0.146785,0.598590,0.372636,0.073382,0.299254,9
